DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2000,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Count_2020,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,Aridity_2020,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Day_Land_Surface_Temp_2020,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Diurnal_Temperature_Range_2020,Drought_Episodes,Elevation,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Enhanced_Vegetation_Index_2020,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Frost_Days_2020,Global_Human_Footprint,Growing_Season_Length,Irrigation,ITN_Coverage_2000,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,ITN_Coverage_2020,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Land_Surface_Temperature_2020,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Incidence_2020,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Malaria_Prevalence_2020,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Maximum_Temperature_2020,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Mean_Temperature_2020,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Minimum_Temperature_2020,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,Night_Land_Surface_Temp_2020,PET_2000,PET_2005,PET_2010,PET_2015,PET_2020,Precipitation_2000,Precipitation_2005,Precipitation_2010,Precipitation_2015,Precipitation_2020,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Rainfall_2020,Temperature_January,Temperature_February,Temperature_March,Temperature_April,Temperature_May,Temperature_June,Temperature_July,Temperature_August,Temperature_September,Temperature_October,Temperature_November,Temperature_December,Travel_Times,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,U5_Population_2020,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Count_2020,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,UN_Population_Density_2020,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015,Wet_Days_2020
LB202200000001,LBGE81FL,LB,2022,1,LB2022MIS,27352.85742,42677.08984,34296.13672,63815.57422,74113.07031,72.33437347,65.50108337,83.64238739,70.72821808,70.13713837,27.4933815,26.82494164,27.13838005,29.06547737,29.13605499,9.134085655,9.109997749,9.225087166,9.305381775,9.109997749,2,7.826172829,0.370108157,0.368167639,0.350017577,0.312124074,0.328840196,0,0,0,0,0,68.27619171,13,0,0.076473184,0.051326536,0.477229208,0.661575556,0.573197365,23.7546463,23.63549232,24.18841553,25.19351959,25.26296234,1.538566232,108.0568542,103.2037735,39.56271362,117.8660126,0.423700243,0.306112379,0.188175589,0.181559622,0.246673644,0.457404137,0.266226113,0.126775742,0.127779469,0.216306284,30.89500999,31.40403748,31.63420105,31.36844826,31.33506966,26.30195427,26.82436371,26.99832153,26.68974304,26.7553978,21.76092339,22.29403877,22.40911484,22.06306458,22.22507286,0.565842569,20.01590919,20.44604111,21.23845291,21.32156372,21.38986778,3.316189289,3.420254707,3.436921358,3.414641142,3.427893639,239.8744812,224.0303955,287.4723206,241.5114899,240.4226379,3707.05957,3820.618408,4821.231934,3041.367676,3264.430664,26.56351089,27.07434273,27.25585747,27.37541199,27.00610924,25.87542725,24.72902489,24.62943077,25.41222954,26.29516411,25.85867882,25.66829872,0.359933019,6377.337402,6324.430176,7657.594727,8547.688477,9501.898438,31848.31836,38367.98438,49366.16797,59559.73438,71220.48438,1641.004272,1976.934082,2543.622314,3068.852051,3669.679443,14.70697594,14.09311676,15.34150124,14.6625576,14.191185
LB202200000002,LBGE81FL,LB,2022,2,LB2022MIS,88366.49219,108027.9609,118025.375,169188.75,189291.375,72.34262848,66.21059418,85.36631012,70.01220703,70.20358276,28.56175232,27.58124924,28.01939774,30.0097599,30.04724693,9.008970261,8.990871429,9.077343941,9.137674332,8.990871429,2,6.120103359,0.255389392,0.258041769,0.247041017,0.221994728,0.238113046,0,0,0,0,0,64.86587524,13,0,0.080799878,0.055705059,0.496981591,0.667234302,0.581887484,24.63482285,24.35898781,24.93478203,26.11229324,26.00023842,2.756486893,208.5898743,173.7620087,8.868350029,196.7094879,0.389680147,0.256955236,0.149608925,0.150737166,0.213113233,0.402162492,0.206807166,0.091967195,0.098354921,0.174800172,30.86905479,31.37808228,31.59427071,31.31853485,31.30312538,26.33988762,26.85897064,27.03292847,26.72501564,26.78401375,21.86008453,22.38721085,22.51692772,22.18085861,22.31225395,2.93470788,20.70789146,21.13672447,21.85016441,22.21482849,21.9532299,3.306206703,3.409606457,3.426273108,3.401330948,3.417245388,239.1796875,225.7520752,292.4882507,238.1347046,239.9028778,3931.438477,4030.17041,5085.95752,3254.774414,3490.256592,26.6184063,27.07947159,27.26034355,27.38231277,27.03486633,25.88580704,24.75580597,24.66469193,25.40732765,26.30809212,25.90462685,25.72760582,0,13638.97461,15944.74609,17993.47266,22589.58984,24170.01563,68148.4375,82099.09375,105632.7969,127444.8047,152396.2656,3187.221191,3839.676514,4940.319824,5960.441406,7127.391602,14.68847466,14.22289085,15.45769882,14.58535862,14.17181873
LB202200000003,LBGE81FL,LB,2022,3,LB2022MIS,88366.49219,108027.9609,118025.375,169188.75,189291.375,72.34262848,66.21059418,85.36631012,70.01220703,70.20358276,28.56175232,27.58124924,28.01939774,30.0097599,30.04724693,9.008970261,8.990871429,9.077343941,9.137674332,8.990871429,2,6.120103359,0.255389392,0.258041769,0.247041017,0.221994728,0.238113046,0,0,0,0,0,64.86587524,13,0,0.080799878,0.055705059,0.496981591,0.667234302,0.581887484,24.63482285,24.35898781,24.93478203,26.11229324,26.00023842,2.756486893,208.5898743,173.7620087,8.868350029,196.7094879,0.389680147,0.256955236,0.149608925,0.150737166,0.213113233,0.402162492,0.206807166,0.091967195,0.098354921,0.174800172,30.86905479,31.37808228,31.59427071,31.31853485,31.30312538,26.33988762,26.85897064,27.03292847,26.72501564,26.78401375,21.86008453,22.38721085,22.51692772,22.18085861,22.31225395,2.93470788,20.70789146,21.13672447,21.85016441,22.21482849,21.9532299,3.306206703,3.409606457,3.426273108,3.401330948,3.417245388,239.1796875,225.7520752,292.4882507,238.1347046,239.9028778,3931.438477,4030.17041,5085.95752,3254.774414,3490.256592,26.6184063,27.07947159,27.26034355,27.38231277,27.03486633,25.88580704,24.75580597,24.66469193,25.40732765,26.30809212,25.90462685,25.72760582,0,13638.97461,15944.74609,17993.47266,22589.58984,24170.01563,68148.4375,82099.09375,105632.7969,127444.8047,152396.2656,3187.221191,3839.676514,4940.319824,5960.441406,7127.391602,14.68847466,14.22289085,15.45769882,14.58535862,14.17181873
LB202200000004,LBGE81FL,LB,2022,4,LB2022MIS,88366.49219,108027.9609,118025.375,169188.75,189291.375,72.34262848,66.21059418,85.36631012,70.01220703,70.20358276,28.56175232,27.58124924,28.01939774,30.0097599,30.04724693,9.008970261,8.990871429,9.077343941,9.137674332,8.990871429,2,6.120103359,0.255389392,0.258041769,0.247041017,0.221994728,0.238113046,0,0,0,0,0,64.86587524,13,0,0.080799878,0.055705059,0.496981591,0.667234302,0.581887484,24.63482285,24.35898781,24.93478203,26.11229324,26.00023842,2.756486893,208.5898743,173.7620087,8.868350029,196.7094879,0.389680147,0.256955236,0.149608925,0.150737166,0.213113233,0.402162492,0.206807166,0.091967195,0.098354921,0.174800172,30.86905479,31.37808228,31.59427071,31.31853485,31.30312538,26.33988762,26.85897064,27.03292847,26.72501564,26.78401375,21.86008453,22.38721085,22.51692772,22.18085861,22.31225395,2.93470788,20.70789146,21.13672447,21.85016441,22.21482849,21.9532299,3.306206703,3.409606457,3.426273108,3.401330948,3.417245388,239.1796875,225.7520752,292.4882507,238.1347046,239.9028778,3931.438477,4030.17041,5085.95752,3254.774414,3490.256592,26.6184063,27.07947159,27.26034355,27.38231277,27.03486633,25.88580704,24.75580597,24.66469193,25.40732765,26.30809212,25.90462685,25.72760582,0,13638.97461,15944.74609,17993.47266,22589.58984,24170.01563,68148.4375,82099.09375,105632.7969,127444.8047,152396.2656,3187.221191,3839.676514,4940.319824,5960.441406,7127.391602,14.68847466,14.22289085,15.45769882,14.58535862,14.17181873
LB202200000005,LBGE81FL,LB,2022,5,LB2022MIS,78293.33594,91716.04688,107449.1719,122725.7031,146875.7656,72.35093689,66.92454529,87.10095978,69.29057312,70.27044678,29.19729805,28.13722229,28.4553833,30.31669617,30.30113602,8.883854866,8.87174511,8.929600716,8.969965935,8.87174511,2,6.046273708,0.191446528,0.182694614,0.183874995,0.16057083,0.177102074,0,0,0,0,0,59.36100388,13,0,0.090294026,0.061927795,0.517388642,0.675698996,0.592694521,25.23808098,24.93439293,25.43194771,26.61888504,26.47963333,0.379287243,144.6311035,41.5301857,4.293781281,26.46611977,0.409951061,0.299438953,0.173099369,0.161434948,0.226513982,0.437212497,0.259144694,0.112689339,0.108385056,0.191739365,30.84309959,31.35212708,31.55434036,31.26862144,31.27118111,26.37782288,26.89357758,27.0675354,26.76028633,26.8126297,21.95924377,22.48038101,22.6247406,22.29865456,22.39943695,1.225377321,21.27886391,21.73156357,22.40851212,22.92107201,22.65812874,3.296224117,3.398958445,3.415625095,3.388020992,3.406597376,238.4848938,227.4737396,297.5042114,234.7579041,239.3831177,4065.887695,4167.133301,5240.718262,3425.252686,3755.380615,26.65846634,27.06898308,27.25546646,27.37154007,27.05687332,25.89299011,24.77214432,24.69908333,25.39204025,26.31734848,25.94428444,25.7739048,0.003125,10973.68945,13537.13379,14646.81152,16385.97852,18754.10156,61870.54688,74536.05469,95901.82813,115704.4844,138357.3906,3187.220947,3839.67627,4940.320313,5960.440918,7127.390625,14.66997337,14.35266495,15.57389736,14.50815964,14.15245247
LB202200000006,LBGE81FL,LB,2022,6,LB2022MIS,88366.49219,108027.9609,118025.375,169188.75,189291.375,72.34262848,66.21059418,85.36631012,70.01220703,70.20358276,28.56175232,27.58124924,28.01939774,30.0097599,30.04724693,9.008970261,8.990871429,9.077343941,9.137674332,8.990871429,2,6.120103359,0.255389392,0.258041769,0.247041017,0.221994728,0.238113046,0,0,0,0,0,64.86587524,13,0,0.080799878,0.055705059,0.496981591,0.667234302,0.581887484,24.63482285,24.35898781,24.93478203,26.11229324,26.00023842,2.756486893,208.5898743,173.7620087,8.868350029,196.7094879,0.389680147,0.256955236,0.149608925,0.150737166,0.213113233,0.402162492,0.206807166,0.091967195,0.098354921,0.174800172,30.86905479,31.37808228,31.59427071,31.31853485,31.30312538,26.33988762,26.85897064,27.03292847,26.72501564,26.78401375,21.86008453,22.38721085,22.51692772,22.18085861,22.31225395,2.93470788,20.70789146,21.13672447,21.85016441,22.21482849,21.9532299,3.306206703,3.409606457,3.426273108,3.401330948,3.417245388,239.1796875,225.7520752,292.4882507,238.1347046,239.9028778,3931.438477,4030.17041,5085.95752,3254.774414,3490.256592,26.6184063,27.07947159,27.26034355,27.38231277,27.03486633,25.88580704,24.75580597,24.66469193,25.40732765,26.30809212,25.90462685,25.72760582,0,13638.97461,15944.74609,17993.47266,22589.58984,24170.01563,68148.4375,82099.09375,105632.7969,127444.8047,152396.2656,3187.221191,3839.676514,4940.319824,5960.441406,7127.391602,14.68847466,14.22289085,15.45769882,14.58535862,14.17181873
LB202200000007,LBGE81FL,LB,2022,7,LB2022MIS,62727.71875,61500.17969,88989.36719,91783,106163.5156,72.39147949,68.15931702,89.72084808,67.9747467,70.40697479,29.61616707,28.62111092,29.39097214,31.1734848,31.25854301,8.790813446,8.788050652,8.802763939,8.813006401,8.788049698,2,7.755794048,0.194921672,0.254486114,0.239369899,0.226364568,0.27961269,0,0,0,0,0,44.99744797,13,0,0.07553266,0.051623832,0.465284675,0.645329595,0.554182172,25.00353813,24.93888855,25.69398689,26.54285431,26.70732498,0.407070994,135.8704224,40.50262451,20.15964317,35.1067543,0.416537464,0.309217334,0.189088941,0.17440109,0.239705876,0.445835322,0.270602584,0.127725571,0.120843872,0.207538202,30.81099701,31.31849098,31.50169373,31.19874191,31.2315979,26.39425659,26.90329933,27.07931137,26.77092171,26.81640625,22.02018166,22.53043938,22.69893074,22.38573456,22.4435482,1.695479512,20.39090919,21.25666618,21.99699974,21.91222191,22.15610695,3.281365871,3.380295277,3.397193432,3.367983341,3.388975859,237.542923,230.3986206,304.7990723,228.9378204,238.6075439,3847,4031,5087,3427,3706.676025,26.65102959,27.11145592,27.28991699,27.43475342,27.06746292,25.87783051,24.8258152,24.68014908,25.38840103,26.30999756,25.99772644,25.81671715,0.025000002,7454.269043,9077.323242,10423.79004,12254.59961,13555.68262,46438.49609,55944.91406,71981.53125,86844.91406,103847.6328,3187.220703,3839.67627,4940.319824,5960.440918,7127.391113,14.64113712,14.55794144,15.75088787,14.36255074,14.1224575
LB202200000008,LBGE81FL,LB,2022,8,LB2022MIS,33267.00391,36871.71875,48594.75781,54484.6875,63217.78516,72.46218872,66.31259155,85.54331207,70.03479004,70.28369904,29.2670002,28.20531273,28.47812462,30.28897667,30.71295547,8.943229675,8.92565155,9.009635925,9.068229675,8.92565155,2,15.06189632,0.156373143,0.136176929,0.149857089,0.110857517,0.140444428,0,0,0,0,0,58.29851151,13,0,0.066363811,0.045156147,0.460786998,0.606004,0.524488747,25.28503418,25.1951046,25.4782505,26.80750084,26.67365265,1.731007814,45.47532272,350.0802307,0.279801965,403.14328,0.415198982,0.310817271,0.185480565,0.172550514,0.238024324,0.446902692,0.273558497,0.12457329,0.119248018,0.206273764,30.86471367,31.37513161,31.58802032,31.31627655,31.296875,26.36888123,26.88906288,27.06093788,26.75794411,26.81080818,21.92148399,22.44947815,22.57838631,22.24804688,22.37122345,4.596065521,21.30306816,22.18489456,22.47837448,23.3260231,22.63434982,3.307421923,3.413541794,3.430208445,3.405729294,3.419791698,239.6630249,226.3608093,293.431366,238.5195313,240.3556061,NA,NA,NA,NA,3601.621582,26.66043663,27.0506134,27.23990059,27.34520912,27.04744148,25.8955555,24.74359703,24.70230484,25.39185715,26.31714821,25.90982056,25.75065804,0,4425.478516,5442.203613,6248.495117,7274.636719,8072.078613,22535.58203,27148.83789,34931.05469,42143.92969,50394.97266,3187.220947,3839.67627,4940.319824,5960.441406,7127.391113,14.69700432,14.23924446,15.47544193,14.58781242,14.18006516
LB202200000009,LBGE81FL,LB,2022,9,LB2022MIS,82957.71094,92699.58594,109617.1484,142301.1094,163238.625,72.56707764,68.50823212,89.736763,67.61928558,70.55268097,28.60954475,28.02678108,28.78677177,30.00681877,30.26621246,8.925217628,8.923177719,8.937457085,8.947352409,8.923177719,2,14.42773247,0.307819366,0.306753904,0.297704786,0.268433481,0.30153349,0,0,0,0,0,36.74218369,13,0,0.081674665,0.056166325,0.469827741,0.664658904,0.573040783,24.33335304,24.38964081,25.05503273,25.71247292,26.01473618,0.730815411,80.57524872,7.197468281,1.122881293,1.042693138,0.407305151,0.292289466,0.181359246,0.169533685,0.230337083,0.427571923,0.249074295,0.120125301,0.115777671,0.195273653,30.8225708,31.32838631,31.51341248,31.2108078,31.24479294,26.33901978,26.8460083,27.02404594,26.71623421,26.76241302,21.89735222,22.40520859,22.57595634,22.26345444,22.32161522,1.079067826,20.05715942,20.75250053,21.32329559,21.41812515,21.7632618,3.283680677,3.379774332,3.397135496,3.373394251,3.389149427,238.2871094,231.5423737,304.8479004,228.1065216,239.1135864,3617.515381,3843.512695,4769.021484,3202.015137,3539.873047,26.57324982,27.08817863,27.27591133,27.41427231,27.04171562,25.85944557,24.84121895,24.65247917,25.37782288,26.29255486,26.04180717,25.8202076,0,11567.60059,13688.61621,15105.81738,19005.98438,20851.74023,68069.28125,82003.73438,105510.1094,127296.7734,152219.25,3187.221191,3839.676758,4940.320313,5960.441406,7127.391113,14.64910507,14.58424091,15.76391411,14.3120966,14.13049889
LB202200000010,LBGE81FL,LB,2022,10,LB2022MIS,33279.51953,36861.66797,63112.98047,67582.67969,74420.47656,72.76665497,69.159729,90.48259735,66.96257019,70.74464417,28.85750961,28.49270248,28.49697876,30.04292107,30.13836479,8.987110138,8.987110138,8.987110138,8.987110138,8.987109184,2,9.129882813,0.350453675,0.327739418,0.324276567,0.306479156,0.319213033,0,0,0,0,0,34.6722641,13,0,0.071505331,0.049949426,0.428849667,0.642816663,0.541178346,24.45174026,24.60998535,24.70368576,25.65171623,25.76065445,1.819118261,55.06703949,4.195207596,0.873192549,1.100157738,0.429434806,0.320627779,0.210874602,0.198748901,0.264364034,0.462687105,0.283684105,0.14954488,0.145914763,0.23837246,30.82465363,31.32763481,31.50784111,31.20102882,31.24378014,26.3110981,26.81407738,26.99428558,26.68747139,26.7302227,21.83754349,22.34052277,22.52073288,22.21391678,22.25667,0.664157689,20.04597282,20.72726822,20.91039085,21.26050949,21.3829422,3.28057003,3.373697996,3.391956091,3.372222185,3.383550406,238.7161102,233.3240356,306.9129944,225.8126678,239.3680573,3376.757813,3651.268555,4567.146484,2822.967041,3016.782471,26.43424034,26.97825623,27.18545914,27.29217911,26.96799278,25.8225975,24.80906677,24.62799072,25.34640884,26.24816704,26.09270859,25.80598259,0.647460938,4256.586914,5791.027832,7949.415527,9545.602539,10088.87109,41403.60547,49869.60938,64153.46484,77388.1875,92526.22656,2931.474609,3530.888184,4542.219238,5479.269531,6551.079102,14.64839077,14.66118336,15.82500076,14.22904682,14.12837124
