,Year,Total_population,no_of_females,no_of_males,Percentage_of_females,Percentage_of_males,Percentage_of_Rural_population,Percentage_of_urban_population,"Urban population, male (% of total)","Urban population, female (% of total)","Rural population, female (% of total)","Rural population, male (% of total)","Population ages 00-04, female","Population ages 00-04, male","Population ages 0-14, female","Population ages 0-14, male","Population ages 05-09, female","Population ages 05-09, male","Population ages 10-14, female","Population ages 10-14, male","Population ages 15-19, female","Population ages 15-19, male","Population ages 15-64, female","Population ages 15-64, male","Population ages 20-24, female","Population ages 20-24, male","Population ages 25-29, female","Population ages 25-29, male","Population ages 30-34, female","Population ages 30-34, male","Population ages 35-39, female","Population ages 35-39, male","Population ages 40-44, female","Population ages 40-44, male","Population ages 45-49, female","Population ages 45-49, male","Population ages 50-54, female","Population ages 50-54, male","Population ages 55-59, female","Population ages 55-59, male","Population ages 60-64, female","Population ages 60-64, male","Population ages 65-69, female","Population ages 65-69, male","Population ages 65 and above, female","Population ages 65 and above, male","Population ages 70-74, female","Population ages 70-74, male","Population ages 75-79, female","Population ages 75-79, male","Population ages 80 and above, female","Population ages 80 and above, male","Population ages 0-14, total","Population ages 15-64, total","Population ages 65 and above, total",malaria_deaths
0,2022,5302681.0,2661979.0,2640702.0,50.2006249291632,49.79937507083681,46.935,53.065,,,,,370536.0,380804.0,1061014.0,1087766.0,353948.0,362667.0,336530.0,344296.0,297465.0,303295.0,1501959.0,1476514.0,243918.0,246912.0,193217.0,192818.0,164122.0,161771.0,150434.0,147348.0,136673.0,131180.0,113776.0,105230.0,88235.0,80647.0,64972.0,61920.0,49149.0,45393.0,39023.0,31775.0,99005.0,76422.0,28097.0,20852.0,19115.0,14147.0,12772.0,12772.0,2148780.0,2978473.0,175427.0,353.0
1,2021,5193416.0,2608243.0,2585173.0,50.22210814616045,49.777891853839556,47.427,52.573,,,,,367568.0,377786.0,1051736.0,1078214.0,352802.0,361524.0,331366.0,338905.0,287392.0,292716.0,1458503.0,1431454.0,234562.0,237032.0,186733.0,185811.0,161808.0,159391.0,149062.0,145764.0,134184.0,128104.0,109525.0,100831.0,84655.0,78039.0,62273.0,59842.0,48308.0,43926.0,38747.0,30977.0,98004.0,75505.0,28003.0,20814.0,18937.0,14206.0,12316.0,12316.0,2129950.0,2889958.0,173509.0,248.0
2,2020,5087584.0,2556131.0,2531454.0,50.24253162208231,49.75748803361281,47.911,52.089,,,,,364971.0,375138.0,1041505.0,1067634.0,350476.0,359146.0,326059.0,333350.0,277726.0,282533.0,1417699.0,1389032.0,225429.0,227291.0,181460.0,180102.0,160031.0,157601.0,147837.0,144230.0,131259.0,124572.0,105285.0,96670.0,81054.0,75603.0,59938.0,57840.0,47682.0,42588.0,38451.0,30257.0,96927.0,74788.0,28016.0,20997.0,18615.0,14165.0,11846.0,11846.0,2109139.0,2806731.0,171714.0,
3,2019,4985289.0,2505847.0,2479442.0,50.264829180414615,49.735170819585385,48.385,51.615,,,,,362867.0,372969.0,1029898.0,1055524.0,347770.0,356334.0,319261.0,326221.0,268847.0,273143.0,1380498.0,1350091.0,216946.0,218139.0,177507.0,175813.0,158605.0,156188.0,146948.0,142915.0,127823.0,120566.0,101343.0,93028.0,77371.0,73152.0,57966.0,55869.0,47142.0,41278.0,37707.0,29287.0,95451.0,73827.0,28310.0,21449.0,18141.0,13984.0,11294.0,11294.0,2085421.0,2730590.0,169278.0,602.0
4,2018,4889391.0,2458807.0,2430584.0,50.28861467614269,49.71138532385731,48.849,51.151,,,,,361683.0,371756.0,1016943.0,1041940.0,344172.0,352580.0,311087.0,317605.0,260806.0,264564.0,1348112.0,1315891.0,209755.0,210251.0,175031.0,173099.0,158253.0,155774.0,145537.0,141071.0,124043.0,116335.0,97769.0,89989.0,73837.0,70781.0,56400.0,53993.0,46678.0,40036.0,36853.0,28412.0,93752.0,72753.0,28600.0,21846.0,17573.0,13717.0,10725.0,10725.0,2058883.0,2664002.0,166506.0,
5,2017,4796631.0,2413339.0,2383292.0,50.31320941719303,49.68679058280697,49.303,50.697,,,,,361576.0,371676.0,1002845.0,1027120.0,339344.0,347538.0,301924.0,307907.0,252948.0,256119.0,1318440.0,1284330.0,203776.0,203590.0,173429.0,171351.0,158279.0,155647.0,143628.0,138676.0,120087.0,112062.0,94188.0,87208.0,70656.0,68547.0,55182.0,52224.0,46268.0,38905.0,36416.0,28002.0,92055.0,71843.0,28472.0,21929.0,16971.0,13434.0,10194.0,10194.0,2029964.0,2602770.0,163897.0,758.0
6,2016,4706097.0,2369046.0,2337052.0,50.33993136988039,49.66008987915039,49.746,50.254,,,,,360962.0,371079.0,987857.0,1011317.0,334405.0,342355.0,292491.0,297883.0,245098.0,247605.0,1290829.0,1254660.0,198996.0,198191.0,172498.0,170338.0,157863.0,155025.0,141709.0,136156.0,116058.0,107874.0,90626.0,84668.0,67856.0,66379.0,54253.0,50556.0,45875.0,37869.0,36202.0,27863.0,90360.0,71075.0,28094.0,21863.0,16355.0,13145.0,9709.0,9709.0,1999173.0,2545489.0,161435.0,1259.0
7,2015,4612329.0,2323065.0,2289264.0,50.36642008841954,49.63357991158046,50.18,49.82,25.5163224516989,24.1838774150566,25.405285365312,24.8945147679325,359142.0,369223.0,971898.0,994446.0,329313.0,336987.0,283442.0,288236.0,237037.0,238841.0,1262545.0,1224432.0,194721.0,193440.0,171477.0,169306.0,157149.0,154003.0,139045.0,132861.0,111859.0,103741.0,86933.0,82178.0,65381.0,64205.0,53518.0,48972.0,45424.0,36885.0,36116.0,27980.0,88623.0,70386.0,27539.0,21653.0,15719.0,12829.0,9249.0,9249.0,1966344.0,2486977.0,159009.0,1379.0
8,2014,4519398.0,2277509.0,2241889.0,50.394079034420066,49.605920965579934,50.603,49.397,,,,,356979.0,366974.0,954781.0,976292.0,322733.0,330038.0,275069.0,279280.0,229262.0,230328.0,1235445.0,1195530.0,191393.0,189748.0,170524.0,168366.0,156594.0,153017.0,135752.0,128975.0,107933.0,100109.0,83157.0,79674.0,63330.0,62106.0,52953.0,47505.0,44546.0,35699.0,36493.0,28543.0,87283.0,70067.0,26885.0,21364.0,15076.0,12493.0,8830.0,8830.0,1931073.0,2430974.0,157351.0,2288.0
9,2013,4427313.0,2232393.0,2194919.0,50.42320251583748,49.576774897098986,51.015,48.985,,,,,353682.0,363530.0,935489.0,955816.0,314645.0,321485.0,267161.0,270800.0,222288.0,222603.0,1210980.0,1169396.0,189218.0,187303.0,170456.0,168220.0,155371.0,151333.0,132014.0,124745.0,104324.0,97033.0,79506.0,77218.0,61704.0,60103.0,52500.0,46149.0,43600.0,34687.0,36909.0,29082.0,85924.0,69707.0,26127.0,21010.0,14420.0,12154.0,8467.0,8467.0,1891306.0,2380377.0,155631.0,1191.0
